x;y
Guatemala;8.475522441496
El Progreso;16.130494774241
Sacatepéquez;10.695060197277
Chimaltenango;23.7839182545835
Escuintla;14.861284923839
Santa Rosa;16.3917336090222
Sololá;33.386831299638
Totonicapán;34.001683035641
Quetzaltenango;18.324164802197
Suchitepéquez;20.869928043803
Retalhuleu;18.195339502696
San Marcos;21.97457540511
Huehuetenango;28.1106732594477
Quiché;32.3403533636896
Baja Verapaz;23.6664477239799
Alta Verapaz;40.0669844753696
Petén;21.7215745788994
Izabal;27.4684661523729
Zacapa;20.621842513134
Chiquimula;33.925204849854
Jalapa;23.212850734251
Jutiapa;23.391107151831
